start,goal,stress_level,subject,trialID,timeInTrial,trialNumber,selected,blockedWall,isStressTrial,success,isBlockedTrial,isStressFirst,isFemale,speed,nodeDistance,trialType,nodePath,blockedNodePath,shortestPathLength,Efficiency,type
F6,A6,3,567,13,15.30408,4,A6,D7North,True,1,True,True,True,1.0454728412292669,16.0,C,"['F6', 'E6', 'E7', 'D7', 'E7', 'E6', 'E5', 'E4', 'D4', 'C4', 'C5', 'C4', 'B4', 'A4', 'A5', 'A6']","['D7', 'E7', 'E6', 'E5', 'E4', 'D4', 'C4', 'C5', 'C4', 'B4', 'A4', 'A5', 'A6']",11,0.1818181818181818,stress blocked
E6,A1,2,567,3,10.84998,5,A1,,True,1,False,True,True,0.9216606850888204,10.0,B,"['E6', 'E5', 'E4', 'D4', 'C4', 'B4', 'A4', 'A3', 'A2', 'A1']",,10,0.0,stress non-blocked
A1,F6,4,567,2,15.97424,6,F6,,True,1,False,True,True,0.8138102344775088,13.0,B,"['A1', 'A2', 'A3', 'A4', 'B4', 'C4', 'C5', 'C4', 'D4', 'E4', 'E5', 'E6', 'F6']",,11,0.1818181818181818,stress non-blocked
B2,C6,2,567,5,8.573608,7,C6,,True,1,False,True,True,0.933096078103874,8.0,B,"['B2', 'A2', 'A3', 'A4', 'B4', 'C4', 'C5', 'C6']",,6,0.3333333333333333,stress non-blocked
A6,G2,4,567,8,15.6991,8,G2,A3West,True,1,True,True,True,0.9554687848347996,15.0,C,"['A6', 'A5', 'A4', 'A3', 'A4', 'B4', 'C4', 'C3', 'C2', 'C1', 'D1', 'E1', 'F1', 'G1', 'G2']","['A3', 'A4', 'B4', 'C4', 'C3', 'C2', 'C1', 'D1', 'E1', 'F1', 'G1', 'G2']",10,0.2,stress blocked
G2,C7,3,567,9,13.2395,9,C7,F1North,True,1,True,True,True,1.0574417462895125,14.0,C,"['G2', 'G1', 'F1', 'G1', 'G2', 'G3', 'F3', 'E3', 'E4', 'E5', 'E6', 'E7', 'D7', 'C7']","['F1', 'G1', 'G2', 'G3', 'F3', 'E3', 'E4', 'E5', 'E6', 'E7', 'D7', 'C7']",12,0.0,stress blocked
D4,G2,2,567,6,11.63855,10,G2,,True,1,False,True,True,0.8592135618268598,10.0,B,"['D4', 'C4', 'C3', 'C2', 'C1', 'D1', 'E1', 'F1', 'G1', 'G2']",,6,0.6666666666666666,stress non-blocked
G5,C7,3,567,7,8.496582,11,C7,,True,1,False,True,True,0.823860700691172,7.0,B,"['G5', 'G6', 'F6', 'E6', 'E7', 'D7', 'C7']",,7,0.0,stress non-blocked
D1,F6,4,567,4,18.81262,12,F6,,True,1,False,True,True,0.8504929137993539,16.0,B,"['D1', 'E1', 'E2', 'E3', 'E4', 'D4', 'C4', 'C5', 'C6', 'C5', 'C4', 'D4', 'E4', 'E5', 'E6', 'F6']",,8,1.0,stress non-blocked
C7,B2,4,567,11,18.01331,13,B2,C6West,True,1,True,True,True,0.9437465962668716,17.0,C,"['C7', 'C6', 'C7', 'B7', 'A7', 'A6', 'A5', 'A4', 'B4', 'C4', 'C3', 'C2', 'C1', 'D1', 'C1', 'C2', 'B2']","['C6', 'C7', 'B7', 'A7', 'A6', 'A5', 'A4', 'B4', 'C4', 'C3', 'C2', 'C1', 'D1', 'C1', 'C2', 'B2']",10,0.6,stress blocked
